Categoria,Edad,Pais,Titulo,Genero,Duracion,Marca,Referencia,Dias,Marcas,Personas,Sinopsis,limpios
AFICIONADO,24,Colombia,0.5,Drama,300,Motorola,Moto G 2,7,130.0,4,"Jimena, mujer rígidamente estructurada, actualiza su aplicación. Ahora puede medir su emocionalidad, le es útil hasta que pierde el control y ya no sabe si sentir o chequear qué está sintiendo.",jimen muj rigid estructur actualiz aplic ahor pued med emocional util pierd control sab si sent chequ
CRONICAS,26,Belgium,12,Crónica,180,Apple,ad,1,,1,<ksdvnc,ksdvnc
AFICIONADO,34,Colombia,#ATuRitmo,Comedia,65,Huawei,P10 lite,8,245.0,7,"Un día cualquiera en el Sena David se encuentra en el aula de estudios cuando todos los demás se van, no se percata de que Christian   se queda también y observa todo lo que hace.",dia cualqu sen dav encuentr aul estudi demas van percat christi qued observ hac
AFICIONADO,41,Colombia,#EstamosConPipe,Ficción,300,Apple,Ipad Mini 2 Modelo: MD528E7/A,16,153.0,11,"Pipe es un títere que se gana la lotería, pero no la puede cobrar debido a que su único documento es su factura de fabricación. Su temperamento explosivo lo lleva a grabar un facebook live en el que se queja airadamente y exige que se le reconozca su identidad. Al día siguiente se entera, por los medios de comunicación, que se ha creado una tendencia es su nombre: #EstamosConPipe. Pipe, .famoso por la prensa, es invitado al set del ""Super Show"", sin sospechar que la prensa enarbolará una nueva causa dejándolo en el olvido.  Pipe entenderá que a veces la suerte es una burla del destino.",pip titer gan lot pued cobr deb unic document factur fabric temperament explos llev grab facebook liv quej airad exig reconozc ident dia siguient enter medi comun cre tendenci nombr estamosconpip pip famos prens invit set sup show sospech prens enarbol nuev caus dej olvid pip entend vec suert burl destin
CRONICAS,37,Colombia,#personasquetalvezconozcas Andres Arias,Crónica,125,Apple,Iphone 5,2,,2,"#personasquetalvezconozcas es un ejercicio de enfrentarnos a nuestro yo digital y lo que pensamos sobre el comportamiento en redes con respecto a lo social, político y familiar. Trata de ser una especie de contrapeso a la superficialidad, las falsa imagen que se proyecta en RRSS, la vida perfecta inexistente.",personasquetalvezconozc ejercici enfrent digital pens comport red respect social polit famili trat ser especi contrapes superficial fals imag proyect rrss vid perfect inexistent
JUVENIL,17,Colombia,¿ Me has visto ?,Suspenso,298,Apple,iphone 6,3,133.0,5,"es la historia de una joven que caminando por las calles encuestra a su padre caminando con un niño desconocido, la actitud de su padres le hace sospechar que pasa algo raro en su casa, nunca se imagino que la realidad también le tocara probar de la psicosis de su padre.",histori jov camin call encuestr padr camin niñ desconoc actitud padr hac sospech pas rar cas nunc imagin realid toc prob psicosis padr
AFICIONADO,22,Colombia,¿Dónde está el amor?,Drama,290,Apple,I phone 6s,90,53.0,13,"Nestor un apasionado fotótografo, se encuentra en un momento de su vida en donde todo es perfecto, Helen ha dibujado con colores su panorama, ella es su complemento ideal, pero por los azares de la vida, se verá quebrado cuando ella parta de su lado...Este suceso lo convertirá en un hombre solitario, la desesperación y desolación de la partida de Helen, lo llevarán a experimentar con muñecas virtuales. un mundo futurista, donde la compañía y el cariño están al alcance de cualquiera si cuenta con dinero...No obstante, se preguntará por el alma humana en cada una de las experiencias sensoriales que se atreva a sentir, la satisfacción unipersonal y la incapacidad de persuasión de sus amantes virtuales, le mostrarán que el amor no se encuentra en una guía de instrucciones, sino que está predestinado a ser en el momento menos esperado",nestor apasion fototograf encuentr moment vid perfect hel dibuj color panoram complement ideal azar vid ver quebr part lad suces convert hombr solitari desesper desol part hel llev experiment muñec virtual mund futur compañ cariñ alcanc cualqu si cuent diner obstant pregunt alma human cad experient sensorial atrev sent satisfaccion unipersonal incapac persuasion amant virtual mostr amor encuentr gui instruccion sin predestin ser moment men esper
AFICIONADO,34,Colombia,¿Donde esta Laura,Acción,300,Huawei,p smart,30,148.0,12,"Un agente de policía esta interrogando a lo que parece ser un grupo de delincuentes liderados por Samy, Samy le cuenta a este Policia como lograron recuperar una maleta con dinero que les fue robada.",agent polic interrog parec ser grup delincuent lider samy samy cuent polici logr recuper malet diner rob
AFICIONADO,29,Colombia,"¿Estás bien, mamá?",Drama,150,Apple,iPhone 6 /iPhone SE,5,49.0,6,"Isa, la pequeña de la casa, es despertada por unos ruidos en su propia casa. ¿Serán los ruidos de su mamá?",isa pequeñ cas despert ruid propi cas ruid mam
FAMILIAR,38,Colombia,¿Jugamos?,Drama,294,Apple,Iphone 6,9,,6,"Es la historia de un niño egoísta, quien ha crecido con todos los juguetes que quiere. Pero que en una salida de campo conocerá a un nuevo amiguito, quien con humildad y alegría nos dará sin darse cuenta un mensaje de generosidad y amabilidad, mostrándonos que el valor de la amistad está por encima de las cosas materiales.",histori niñ egoist crec juguet quier sal camp conoc nuev amiguit humild alegr dar dars cuent mensaj gener amabil mostr valor amist encim cos material
AFICIONADO,20,Colombia,¿Manu?,Ficción,300,Apple,Iphone 8,2,,7,Una pijamada de amigas se torna diabolica despues de un inocente juego de cartas.,pijam amig torn diabol despu inocent jueg cart
JUVENIL,16,Colombia,¿Presente decente o futuro oscuro?,Otra,105,Motorola,moto c,7,100.0,1,pequeño cortometraje en el cual se hace un flashback desde un dia hermoso a un dia lluvioso y apocaliptico devido a la contaminacion que hay en el planeta. este vide esta hecho para crear conciencia de lo que estamos haciendo y el futuro oscuro que estamos creando.,pequeñ cortometraj hac flashback dia hermos dia lluvios apocalipt dev contaminacion planet vid hech cre concienci hac futur oscur cre
CRONICAS,26,Colombia,¿Que Tan Vecino?,Crónica,299,Motorola,ZW2227TCGQ,10,,10,"Con la necesidad de valorizar el territorio con sus productos y tradiciones agropecuarias decidimos conectarnos con los productores y cocineros locales que, enfrentando dificultades economicas y culturales deciden producir respetando el medio ambiente la salud y el trabajo.  Tenemos la esperanza que el producto bueno, limpio y JUSTO se vuelva la normalidad y no una excepción en una sociedad que pone la comunidad local al margen por monopolios lejanos.",neces valoriz territori product tradicion agropecuari decid conect productor cociner local enfrent dificultad econom cultural decid produc respet medi ambient salud trabaj esper product buen limpi just vuelv normal excepcion socied pon comun local marg monopoli lejan
JUVENIL,15,Colombia,¿Quién dijo eso?,Comedia,299,Apple,Iphone 6,10,96.0,16,"En un aula de clases, suceden muchas cosas, la vida de varios alumnos se juntan en un solo lugar, el timbre del colegio marca el inicio de una nueva experiencia y tras este nuevas historias empiezan a nacer...Esta historia ocurre en un salón de clases, un grupo de alumnos que se ven forzados a revelar sus más íntimos secretos por una voz que empieza a narrar todas las acciones que los jóvenes  realizarán...Una voz que más allá de querer crear un conflicto, busca que los mismos alumnos se lleguen a aceptar.",aul clas suced much cos vid vari alumn junt sol lug timbr colegi marc inici nuev experient tras nuev histori empiez nac histori ocurr salon clas grup alumn ven forz revel intim secret voz empiez narr tod accion joven realiz voz alla quer cre conflict busc mism alumn lleg acept
AFICIONADO,23,Colombia,¿Quién es la jefa?,Ficción,255,Samsung,S8,20,179.0,9,"Carolina es asistente de una empresaria en una reconocida agencia de Publicidad, quien saturada de trabajo, debe cumplir todos los caprichos de su jefa Jessica, que se caracteriza  por su arrogancia y egocentrismo en su vida  laboral y personal. .A punto de enfermarse y en medio de cientos de documentos, cuentas, nóminas y encargos, Carolina debe hacer todo lo que su jefe quiere, tiene que hacer su trabajo mientras la ve jugar tenis despreocupa y evadiendo  sus responsabilidades. .Al día siguiente, Carolina bastante enferma, sin poder siquiera mantenerse en pie, decide envíar a su jefe un reemplazo que cumpla con sus funciones, pero Jessica, inconforme  y sin vestigio de compasión, envía mensajes frenéticamente, la llena de reclamos y  responsabilidades y le ordena que se presente de inmediato, pues hay muchos pagos y transacciones retrasadas. .Carolina, desesperada, decide acudir a su amigo Alejandro para desahogarse, y él además de escucharla, le da una opción que salvará no solo su día, sino también la presión de su trabajo de ahí en adelante: hacer todos sus pagos y transacciones a través de Nequi. Ella decide intentarlo y se pone al día desde su casa. .Al siguiente día, rosagante vemos a Carolina y a Jessica nuevamente en la cancha de tenis. Como todos los días, la jefa le pregunta a su asistente si ya hizo las diferentes actividades financieras de la empresa, pero esta vez, Carolina con una actitud fresca y sin estrés, responde que ya hizo todo, sin moverse del lugar y en tiempo récord.",carolin asistent empresari reconoc agenci public satur trabaj deb cumpl caprich jef jessic caracteriz arrog egocentr vid laboral personal punt enferm medi cient document cuent nomin encarg carolin deb hac jef quier hac trabaj mientr ve jug tenis despreocup evad respons dia siguient carolin bastant enferm pod siqu manten pie decid envi jef reemplaz cumpl funcion jessic inconform vestigi compasion envi mensaj frenet llen recl respons orden present inmediat pues pag transaccion retras carolin desesper decid acud amig alejandr desahog ademas escuch da opcion salv sol dia sin presion trabaj ahi adel hac pag transaccion traves nequi decid intent pon dia cas siguient dia rosag vem carolin jessic nuev canch tenis dias jef pregunt asistent si hiz diferent activ financ empres vez carolin actitud fresc estres respond hiz mov lug tiemp record
JUVENIL,16,Colombia,¿SERA?,Drama,300,Apple,iphone 7,7,,13,"SINOPSIS.PAOLA (20) es una chica que mantiene una relación en.línea con ESTEBAN (30). PAOLA se mantiene fiel a la.relación, aunque no ha conocido a ESTEBAN personalmente..PAOLA recibe diferentes consejos de sus amigas DANIELA.(20), LAURA (20) Y LINDA (20). Después de discutir el.tema con sus hermanos ANDRES (22) y CAROLINA (18), PAOLA.toma la decisión de reunirse con ESTEBAN, para finalmente.darse cuenta que en realidad es su amiga DANIELA.",sinopsis paol 20 chic mantien relacion line esteb 30 paol mantien fiel relacion aunqu conoc esteb personal paol recib diferent consej amig daniel 20 laur 20 lind 20 despues discut tem herman andres 22 carolin 18 paol tom decision reun esteb final dars cuent realid amig daniel
AFICIONADO,34,Colombia,10 FORMAS DE ROBAR A UN HOMBRE,Comedia,299,Apple,Iphone 7,12,17.0,8,"Dos hombres se encuentran en una desolada calle de Bogotá, dos hombres con vidas diferentes, anhelos diferentes y necesidades diferentes, dos hombres que se encuentran allí no por casualidades de la vida. De uno de ellos dependerá la vida del otro, pues todo puede dar un vuelco trágico en cuestión de segundos.",dos hombr encuentr desol call bogot dos hombr vid diferent anhel diferent neces diferent dos hombr encuentr alli casual vid depend vid pues pued dar vuelc tragic cuestion segund
AFICIONADO,24,Colombia,3 dias.,Ficción,290,Huawei,P10 lite,7,186.0,8,"Juan Pablo Mejía y Mauricio Hernández son dos ejecutivos de cuenta de Manccini publicidad (la mejor agencia publicitaria de la ciudad), Su jefe Leonardo los pone a competir por el puesto de director de cuentas, solo deben conseguir un cliente que siempre ha sido reacia a la agencia, en el transcurso de la competencia por adquirir la cliente se enfrentan de manera desleal y fuera de lo ético, allí conocen a Maria Camila (la cliente). Mauricio  consigue un pacto hablado, sin embargo es Juan Pablo quien logra firmar el contrato, y de paso seducirla, luego de pasar la noche juntos,  a la mañana siguiente Juan pablo se entera que Maria Camila lleva muerta 3 días. ¿Será que todo lo imaginó?",juan pabl mej maurici hernandez dos ejecut cuent manccini public mejor agenci publicitari ciud jef leonard pon compet puest director cuent sol deb consegu client siempr sid reaci agenci transcurs competent adquir client enfrent maner desleal etic alli conoc mari camil client maurici consig pact habl embarg juan pabl logr firm contrat pas seduc lueg pas noch junt mañan siguient juan pabl enter mari camil llev muert 3 dias imagin
AFICIONADO,30,Colombia,Abre tus Ojos,Ficción,300,Apple,Iphone x,7,23.0,17,"Abre tus ojos al amor, abre tus ojos a la fé, abre tus ojos a vida...Abre tus ojos es la adaptación del versículo bíblico: Isaias 35:5,  en donde Aron, un hombre escogido por Dios, luego de batallar durante muchos años, ser desterrado y perseguido por su fe, es retribuido, y redimido por el mismo Dios que lo puso a prueba. sanando sus heridas y ofreciéndole una nueva y renovada felicidad.",abre ojos amor abre ojos fe abre ojos vid abre ojos adapt versicul biblic isai 35 5 aron hombr escog dios lueg batall años ser desterr persegu fe retribu redim mism dios pus prueb san her ofrec nuev renov felic
AFICIONADO,30,Colombia,ADICCION,Drama,270,Apple,Iphone 6s,7,195.0,5,"La tecnología une a las personas que están lejos, pero nos aleja de las personas que tenemos cerca..Es el caso de ésta pareja donde no sabemos si el amor puede mas que la ADICCIÓN a las redes sociales.",tecnolog une person lej alej person cerc cas esta parej sab si amor pued mas adiccion red social
AFICIONADO,22,Colombia,Afonía,Drama,300,Huawei,P Smart,7,76.0,4,Salvador (Hector Arias) encuentra la posibilidad de hacerse a un inmueble después de negociar con un extraño (Cuervo) Casa en la cual los silencios alimentan a otro ser.,salvador hector ari encuentr posibil hac inmuebl despues negoci extrañ cuerv cas silenci aliment ser
CRONICAS,32,Colombia,agregación del valor del café producido por el Sujeto Colectivo de Reparación la Rejoya,Crónica,280,Samsung,j5 prime,4,,10,"Este cortometraje se realiza en el año 2018   después de 17 años de una trágica masacre , ocurrida en la vereda la Rejoya del municipio de Popayán, donde perdieron la vida 10 personas. Este hecho victimizante  producto del conflicto armado causó innumerables daños y estigmatización, afectando el buen nombre de la comunidad..el cortometraje se realiza con el  fin de dar conocer parte de la historia, al igual dar a conocer la calidad y talento de sus habitantes, que por mas de una década han sido olvidados pero en la actualidad, como sujeto de reparación colectiva de víctimas se ha logrado implementar proyectos y capacitaciones para lograr mejorar la calidad de vida de la comunidad de la Rejoya y a su vez.resaltar muchos talentos y aptitudes que hay dentro de ella, La Rejoya una vereda con paisajes hermosos, con talentos de diferentes edades, nos caracterizamos por ser luchadores, emprendedores y con mucho talento , que buscamos un mejor futuro para nosotros, nuestras familias y la comunidad",cortometraj realiz año 2018 despues 17 años tragic masacr ocurr vered rejoy municipi popayan perd vid 10 person hech victimiz product conflict armad caus innumer dañ estigmatiz afect buen nombr comun cortometraj realiz fin dar conoc part histori igual dar conoc calid talent habit mas dec sid olvid actual sujet repar colect victim logr implement proyect capacit logr mejor calid vid comun rejoy vez resalt talent aptitud dentr rejoy vered paisaj hermos talent diferent edad caracteriz ser luchador emprendedor talent busc mejor futur famili comun
AFICIONADO,36,Colombia,agujero de gusano,Ficción,299,Huawei,Huawei p8 lite,30,,17,"Calisto, Amelia y valentina, en los años 40 y 50 son campesinos que solían vivir felices en una región de la Calera—Siberia en Colombia.  .En medio de la modesta vida de campo, para esta familia el amor era su mayor riqueza,  En esta época la región prosperaba desde 1.927 gracias al apoyo de una gran empresa. En la actualidad, sólo existen ruinas de este lugar y es considerado un pueblo fantasma. ..Calisto en extrañas circunstancias viaja por el tiempo, dejando atrás su apreciada vida llegando al futuro..En el futuro como en el pasado, su desaparición deja serias pruebas de su existencia, convirtiendo la historia en uno de los grandes misterios y antecedentes más claros de posible abduccion y viajes a traves de un "" AGUJERO DE GUSANO."" ..Historia Basada en narraciones de hechos reales.",calist ameli valentin años 40 50 campesin sol viv felic region caler siberi colombi medi modest vid camp famili amor mayor riquez epoc region prosper 1 927 graci apoy gran empres actual sol exist ruin lug consider puebl fantasm calist extrañ circunst viaj tiemp dej atras apreci vid lleg futur futur pas desaparicion dej seri prueb existent convirt histori grand misteri antecedent clar posibl abduccion viaj trav agujer gusan histori bas narracion hech real
JUVENIL,14,Colombia,Alejandro,Suspenso,0,Huawei,P20,2,260.0,11,Es una situación de maltrato físico que se presenta frecuentemente en los colegios. Lo ideal es que a través del cortometraje se lleve un mensaje de respeto y se pueda realizar un trabajo pedagógico.,situacion maltrat fisic present frecuent colegi ideal traves cortometraj llev mensaj respet pued realiz trabaj pedagog
JUVENIL,15,Colombia,Alex,Ficción,298,Motorola,G5S PLUS,18,144.0,3,"Por mas de un año, la vida de Alex fue espectacular, o al menos eso es lo que el creia. Alguien ha vuelto para molestarle y Alex tendra que quitarse esa a esa persona de encima, o aprender a vivir con el.",mas año vid alex espectacul men crei algui vuelt molest alex tendr quit person encim aprend viv
AFICIONADO,20,Colombia,Alguien para decirle adios,Drama,300,Apple,iPhone 6,15,123.0,7,"MANUELA es una chica que luego de la muerte de sus padres y al ser hija única sin familiares allegados, quedo completamente sola, excepto por TAMARA su mejor amiga y confidente, pero esto cambiara de repente cuando MANUELA es diagnostica con leucemia...Esto dará un cambio drástico en su vida, ya que TAMARA debido se alejara de esta, empujando a MANUELA a librar una batalla contra su enfermedad por si sola y sin nadie a su alrededor, por ello MANUELA decide abrir le espacio en su vida a ABRIL una androide de última generación la cual se convertirá en su fuerza durante sus últimos días en este mundo.",manuel chic lueg muert padr ser hij unic familiar alleg qued complet sol except tam mejor amig confident cambi repent manuel diagnost leucemi dar cambi drastic vid tam deb alej empuj manuel libr batall enfermed si sol nadi alrededor ello manuel decid abrir espaci vid abril android ultim gener convert fuerz ultim dias mund
SMARTIC INCLUYENTE,28,Colombia,ALMAS DE TALLA BAJA,Documental,201,Huawei,P9 plus,45,51.0,7,"La familia Largo es conformada por tres personas quienes por su condición tuvieron la oportunidad de hacer parte del entorno circense, sin embargo, ellos ha querido dar un giro en sus vidas y buscar un contexto donde puedan ser vistos desde sus cualidades como personas y no enfocados en su condición.",famili larg conform tres person condicion oportun hac part entorn circens embarg quer dar gir vid busc context pued ser vist cualidad person enfoc condicion
AFICIONADO,24,Colombia,Amalia,Drama,300,iPro,Iphone 7,15,195.0,9,"Hay personas quienes creen que la felicidad es una sensación, hay otras que lo asumen como una actitud, Amalia es una joven que ve la vida de otro color a pesar de todas dificultades a las que se enfrenta a  diario.",person cre felic sensacion asum actitud amali jov ve vid color pes tod dificultad enfrent diari
SMARTIC INCLUYENTE,23,Colombia,Amigas por siempre,Drama,5,Apple,iPhone 5S,5,,6,"Un grupo de amigas sordas siempre se han mantenido juntas, pero ahora una de ellas decide casarse, aunque sus amigas tratan de convencerla que comete un error, que es joven y tiene una vida por delante para disfrutar, sin embargo, ella se distancia de sus amigas por su pareja, luego que se casa vive una vida tormentosa con su esposo, finalmente se da cuenta quién la podría ayudar.",grup amig sord siempr manten junt ahor decid cas aunqu amig trat convenc comet error jov vid delant disfrut embarg distanci amig parej lueg cas viv vid torment espos final da cuent quien podr ayud
FAMILIAR,38,Colombia,AMIGO DE MI VIDA,Drama,298,Huawei,Y7 2018,30,124.0,9,"Amigo de mi vida hace una comprensión de que las distancias y fronteras de rompen, cuando los lazos que se establecen en cada uno son tan fuertes que permiten hacer viajes emocionales para sentir la presencia de seres verdaderamente leales, incondicionales y especiales para nuestra vida.",amig vid hac comprension distanci fronter romp laz establec cad tan fuert permit hac viaj emocional sent presenci ser verdader leal incondicional especial vid
AFICIONADO,35,Colombia,AMISTAD INESPERADA,Drama,300,Apple,iphone s6,36,210.0,9,ser sordomuda no sera una limitante para mostrar su gran corazón  Angélica (camila)  una hermosa niña con una extremada ternura demostrara que la verdadera amistad rompe las barreras del odio y la indiferencia.,ser sordomud ser limit mostr gran corazon angel camil hermos niñ extrem ternur demostr verdader amist romp barrer odi indiferent
FAMILIAR,19,Colombia,Amor clandestino,Acción,252,Motorola,Motog 4 play,3,88.0,7,Acompañanos a ver esta increible historia Familiar donde los problemas del poco acompañamiento y apoyo de padres se muestra evidenciado en este cortometraje donde se muestra un claro ejemplo que el amor puede superar cualquier obstaculo.,acompañan ver increibl histori famili problem acompañ apoy padr muestr evidenci cortometraj muestr clar ejempl amor pued super cualqui obstacul
FAMILIAR,20,Colombia,Amor de hogar,Documental,300,Xiaomi,MIA1,10,185.0,3,"A principio de mes ocurre un suceso que a algunos preocupa, la llegada de la cuenta de servicios, pero por medio de los buenos momentos que podemos compartir gracias a ellos, la familia se da cuenta que es un precio muy pequeño a pagar por esos bellos recuerdos donde EPM ha estado con ellos.",principi mes ocurr suces preocup lleg cuent servici medi buen moment pod compart graci famili da cuent preci pequeñ pag bell recuerd epm
AFICIONADO,19,Colombia,AMOR DE PUEBLO O CÓMO RESOLVIMOS EL ASUNTO DEL BOCADILLO,Drama,300,Apple,5s,50,281.0,13,"Dos familias, los Salamanca y los Noguera residen en un pueblo que queda ubicado en el epicentro del departamento de Boyacá. Estas dos familias tienen una rivalidad desde hace más de cien años a causa de un inconveniente con un bocadillo, lo cual desató una guerra y un odio profundo entre ellos, lo que los restringía de cualquier tipo de contacto y aunque ya nadie recuerda dicho hecho sigue latente. Este conflicto perdura hasta la generación de los hijos mayores de ambas familias, Iris y José María, estos pequeños se ven envueltos por el amor que sienten y es prohibido por sus padres a causa de pertenecer a la familia enemiga. Iris y José María se dan cuenta que su relación es más fuerte y planean escaparse juntos mediante un plan sin escucharlos. cuando los padres de ambos descubren el plan, deciden quitarles el celular para que no se puedan seguir comunicando. Es aquí, cuando José María e Iris sobrepasan las barreras del amor para no dejar de hablarse e idean juntos distintos medios para comunicarse y que el enamoramiento no muera, los cuales les permitirán encontrarse para poder escapar y continuar con su amor sin problema.",dos famili salamanc noguer resid puebl qued ubic epicentr departament boyac dos famili rival hac cien años caus inconvenient bocadill desat guerr odi profund restring cualqui tip contact aunqu nadi recuerd dich hech sig latent conflict perdur gener hij mayor ambas famili iris jos mar pequeñ ven envuelt amor sient prohib padr caus pertenec famili enemig iris jos mar dan cuent relacion fuert plan escap junt mediant plan escuch padr ambos descubr plan decid quit celul pued segu comunic aqu jos mar iris sobrepas barrer amor dej habl ide junt distint medi comunic enamor muer cual permit encontr pod escap continu amor problem
SMARTIC INCLUYENTE,34,Colombia,Amor especial,Drama,180,Huawei,Huawei P9 Liten2016,2,,6,"Dos personas especiales se enamoran, los padres de uno de ellos no está de acuerdo con la relación.",dos person especial enamor padr acuerd relacion
AFICIONADO,19,Colombia,Anhelo Descabellado,Drama,300,Apple,A1586,6,,9,"Verónica ha estado observando a Lina por bastante tiempo, siempre indecisa de hablarle. Cuando logra cruzar unas cuantas palabras, lo único que quiere es estar cada vez más cerca de ella, ganarse su confianza y quizás algo más, pero lo que Lina no sabe es que su relación con Verónica es un deseo secreto disfrazado de amistad, Lina tenía la intención de ser su amiga, pero Verónica anhelaba otra cosa.",veron observ lin bastant tiemp siempr indecis habl logr cruz unas cuant palabr unic quier cad vez cerc gan confianz quizas lin sab relacion veron dese secret disfraz amist lin intencion ser amig veron anhel cos
AFICIONADO,21,Colombia,Animadversión,Drama,180,Sony,Sony xperia l1,4,,5,"Juan y Katherin son una joven pareja de casados que tienen 25 años de edad. Juan se siente presionado y atascado por ser el que provee dinero, katherin es una mujer entregada a el y hace lo posible para ver a su pareja feliz. Aunque se amaban mucho cuando se casaron, ahora Juan siente desprecio y fastidio por su compañera.  Ambos se arrepienten de haberse casado a una edad tan joven, y no haber perseguido sus sueños..Juan es un artista para la música y su guitarra lo ha acompañado en los mejores momentos. Su personalidad es espontanea, libre y enigmática. Su debilidad es un trastorno de doble personalidad que desarrolló a medida del tiempo. .Profundo secreto que Katherin no conocía, hasta que un giro imprevisto del destino revelo su lado más oscuro. Juan decide poner fin a esto que tanto lo atormenta con un final inesperado, cargado de drama, misterio e intriga.",juan katherin jov parej cas 25 años edad juan presion atasc ser prove diner katherin muj entreg hac posibl ver parej feliz aunqu amab cas ahor juan despreci fastidi compañer ambos arrepient hab cas edad tan jov hab persegu sueñ juan artist music guitarr acompañ mejor moment personal espontane libr enigmat debil trastorn dobl personal desarroll med tiemp profund secret katherin conoc gir imprevist destin revel lad oscur juan decid pon fin atorment final inesper carg dram misteri intrig
AFICIONADO,44,Colombia,APOLO,Drama,300,Huawei,P8lite,90,420.0,9,"Es la vida de un indigente, que tenia el sueño de ser un artista.",vid indigent teni sueñ ser artist
PROFESIONAL,27,Colombia,Archivo Confidencial  El último whisky,Drama,300,Apple,Iphone s 7 plus,15,112.0,23,"Suburbio de inmigrantes en Colombia en los años 80. Las operaciones clandestinas con ideologías nacionalsocialistas de una pareja de espías infiltrada en este vecindario, se verán estropeadas tras la caída del muro de Berlín y el fin de la guerra fría. Este acontecimiento reafirmará el pensamiento revolucionario y de cambio de Agnes.",suburbi inmigr colombi años 80 oper clandestin ideolog nacionalsocial parej espi infiltr vecindari veran estrop tras caid mur berlin fin guerr fri acontec reafirm pensamient revolucionari cambi agnes
CRONICAS,20,Colombia,Aroma de Paz,Crónica,297,Huawei,HuaweiHisiliconKirin650,6,,4,"El conflicto armado ha conseguido en Colombia su sistema de financiación, lo que ha hecho que este problema se convierta en uno de los retos mas difíciles para el estado colombiano. Sin embargo, algunos territorios han determinado no prolongar el paso de la violencia, apostándole a cultivos que además de  ser un aporte a la construcción de paz, son determinantes en la economía de familias, que han sido víctimas de la violencia  paramilitar. Aroma  de paz relata la historia de una de estas familias que a pesar de haber sufrido los horrores de la guerra   deciden quedarse y cosechar café y con este también la esperanza de un territorio pacífico",conflict armad consegu colombi sistem financi hech problem conviert ret mas dificil colombian embarg territori determin prolong pas violenci apost cultiv ademas ser aport construccion paz determin econom famili sid victim violenci paramilit arom paz relat histori famili pes hab sufr horror guerr decid qued cosech caf esper territori pacif
CRONICAS,40,Colombia,Así se cultiva La Paz en Almaguer Cauca,Crónica,0,Huawei,P10 Lite,2,,4,"Las mujeres de la vereda Achiral, se unifican para crear un reservorio en la vereda para beneficiar sus cultivos y salir adelante, de esta manera construyen paz en su territorio, teniendo más oportunidades y dejando el pasado violento en el que vivían.",mujer vered achiral unific cre reservori vered benefici cultiv sal adel maner constru paz territori oportun dej pas violent viv
AFICIONADO,23,Colombia,Asistido,Drama,297,Huawei,Huawei P Smart,5,,4,"Dos jóvenes universitarios se dan cita en las cercanías de un sendero ecológico, a lo largo del recorrido Leopoldo (Edward González) le confiesa todo lo que siente por la mujer con la que sale a Leonardo (Cristian Ramírez) quien se muestra indiferente a la conversación porque se encuentra reflexivo por lo que esta a punto de hacer y por la cual se dio lugar a su encuentro.",dos joven universitari dan cit cercan sender ecolog larg recorr leopold edward gonzalez confies muj sal leonard cristi ramirez muestr indiferent convers encuentr reflex punt hac dio lug encuentr
AFICIONADO,21,Colombia,Ataraxia,Ficción,5,Samsung,Samsung J5 prime,20,150.0,8,"Silvana una joven artista de 22 años, se encuentra aburrida de su cotidianidad, tanto así que decide terminar con su novio y alejarse de sus conocidos, ella frecuentemente recibe llamadas que le prometen un viaje que será el cambio radical de su monotonía, lo que Silvana desconoce es que la persona que  se hace llamar K, quien  se comunica con ella constantemente  es líder de un experimento neurológico con el nombre de A T A R A X I A  realizado en un laboratorio clandestino, que tiene como objetivo crear  y manipular realidades soñadas por el sujeto en prueba.  Sin tener idea de estos siniestros planes Silvana cae en la trampa de k, siendo víctima de un engaño.",silvan jov artist 22 años encuentr aburr cotidian asi decid termin novi alej conoc frecuent recib llam promet viaj cambi radical monoton silvan desconoc person hac llam k comun constant lid experiment neurolog nombr t r x i realiz laboratori clandestin objet cre manipul realidad soñ sujet prueb ten ide siniestr plan silvan cae tramp k siend victim engañ
AFICIONADO,19,Colombia,Atemporal,Ficción,360,Apple,Iphone 8 plus,6,,9,"Dos parejas se aventuran a un fin de semana romántico en una finca. Andrés luego de leer algunos Creepypastas, convence a sus amigos de realizar un ritual con el cual se podría manejar el tiempo. Desilusionados al no percibir nada deciden dejarlo pasar. En muy poco tiempo cosas extrañas empiezan a suceder, el misterio ha comenzado.",dos parej aventur fin seman romant finc andres lueg leer creepypast convenc amig realiz ritual podr manej tiemp desilusion percib decid dej pas tiemp cos extrañ empiez suced misteri comenz
