,Año,Categoría,País,Género,¿Cómo se enteró?,Referencia Dispositivo
122,2015,Profesional,Colombia,Drama,Convocatoria,Samsung Galaxy S5
123,2015,Aficionado,Colombia,Suspenso,Convocatoria,Sony Xperia Z3
124,2015,Aficionado,Colombia,Drama,Convocatoria,Azumi A50+ / Alcatel One Touch c7 / iphone 4 s
125,2015,Profesional,Colombia,Documental,Convocatoria,"SONY XPERIA, NOKIA LUMIA."
126,2015,Aficionado,Colombia,"Suspenso, Terror",Convocatoria,HUAWEI ASCEND G630
127,2015,Aficionado,Colombia,Drama,Convocatoria,Samsung Galaxy Core 2
128,2015,Aficionado,Colombia,Romántica,Convocatoria,SAMSUNG GALAXY GRAND MAX
129,2015,Aficionado,Colombia,"Terror, suspenso",Convocatoria,"GALAXY S4 MINI, SAMSUNG"
131,2015,Aficionado,Colombia,Drama,Convocatoria,SONY XPERIA Z3
133,2015,Aficionado,Colombia,Drama,Convocatoria,iphone 5S
134,2015,Profesional,Colombia,"Documental, Familia",Convocatoria,Iphone 5
136,2015,Aficionado,Colombia,Drama,Convocatoria,Huawei Y330
137,2015,Profesional,Ecuador,"Drama, familia, triste",Convocatoria,IPHONE 5
138,2015,Aficionado,Colombia,Drama,Convocatoria,Samsung galaxy Core Prime y Alcatel Idol Mini
139,2015,Aficionado,Colombia,Familia,Convocatoria,IPhone 5c
140,2015,Aficionado,Colombia,Documental,Convocatoria,motorola moto G 2da generación
141,2015,Aficionado,Colombia,Documental,Convocatoria,iPhone 6 y iPhone 6 Plus
142,2015,Profesional,Colombia,Drama,Convocatoria,Iphone 5
143,2015,Profesional,Colombia,Drama,Convocatoria,Iphone 5C
144,2015,Profesional,Colombia,Drama,Convocatoria,Iphone 4
145,2015,Profesional,España,Documental,Convocatoria,iPhone y Cámara Pro
146,2015,Profesional,Colombia,"Drama, familia",Convocatoria,Samsung Galaxy S4
147,2015,Aficionado,Colombia,drama,Convocatoria,Samsung Galaxy SIII
149,2015,Aficionado,Colombia,Cine experimental,Convocatoria,Blackberry 9300
150,2015,Aficionado,México,"Cine experimental, desnudo",Convocatoria,iphone4
151,2015,Aficionado,Colombia,Cine experimental,Convocatoria,Iphone 6
152,2015,Profesional,Colombia,Ciencia Ficción,Convocatoria,Iphone 6 y Sony Z Xperia
154,2015,Aficionado,Colombia,Drama,Convocatoria,SAMSUNG GALAXY S4
156,2015,Aficionado,Colombia,Comedia,Convocatoria,huawei y600
158,2015,Aficionado,Colombia,Drama,Convocatoria,Iphone 4
160,2015,Aficionado,Colombia,Comedia,Convocatoria,samsung s4
161,2015,Aficionado,Colombia,Suspenso,Convocatoria,Huawei modelo G510-0251
162,2015,Profesional,Colombia,Documental,Convocatoria,"MSUNG NOTE 3 , SAMSUNG S4 SGH- 1337M video - audio samsung duos"
163,2015,Aficionado,Colombia,Drama,Convocatoria,SAMSUN DUOS 4
165,2015,Aficionado,Colombia,Drama,Convocatoria,samsung galaxy y lanixs700
166,2015,Infantil,Colombia,Drama,Convocatoria,Huawei g610
167,2015,Aficionado,Colombia,Thriller,Convocatoria,Motorola Defy Mini XT320
168,2015,Aficionado,Colombia,Drama,Convocatoria,SAMSUNG GALAXY Ace GT-S5830M
169,2015,Aficionado,Colombia,Drama,Convocatoria,iPhone 5S
170,2015,Infantil,Francia,Documental,Convocatoria,------
172,2015,Aficionado,Colombia,Thriller,Convocatoria,SAMSUNG S4 GT-I9500
173,2015,Aficionado,Colombia,Drama,Convocatoria,Mlais M52 red note
175,2015,Aficionado,Colombia,Drama,Convocatoria,Moto G primera generación y Sony Xperia M2
176,2015,Aficionado,Colombia,Comedia,Convocatoria,IPHONE 5S
177,2015,Aficionado,Colombia,Romántica,Convocatoria,SONY XPERIA LT26
178,2015,Aficionado,Colombia,Terror suspenso,Convocatoria,sony z1 compact
179,2015,Aficionado,Colombia,"Drama, familia",Convocatoria,Samsung Core
180,2015,Aficionado,Venezuela,"Suspenso, terror",Convocatoria,SP-601 samsung galaxy note 10.1 edicion especial 2014
181,2015,Aficionado,Colombia,Cine experimental,Convocatoria,Huawei Ascend Y330
182,2015,Profesional,Colombia,Thriller,Convocatoria,Iphone4s - Noki Lumia 1020 - MotoG1
183,2015,Aficionado,Colombia,Drama,Convocatoria,Iphone 6 plus
184,2015,Profesional,Colombia,Drama,Convocatoria,Dos celulares samsung S5 y un celular sony xperia Z1
185,2015,Profesional,Colombia,"Suspenso, terror",Convocatoria,moto x - huawei
186,2015,Profesional,Colombia,"Romántica, drama",Convocatoria,Iphone 6
187,2015,Aficionado,Colombia,"Drama, familia",Convocatoria,HUAWEI Y530
188,2015,Aficionado,Colombia,"Terror, suspenso",Convocatoria,Moto G
189,2015,Profesional,Venezuela,Drama,Convocatoria,ipod Touch generación 5
191,2015,Aficionado,Colombia,Drama,Convocatoria,motorola G segunda generación
194,2015,Infantil,Colombia,Animación,Convocatoria,SAMSUNG GALAXY SIII
196,2015,Profesional,Colombia,Ciencia Ficción,Convocatoria,Iphone S4
197,2015,Aficionado,Colombia,"Terror, suspenso",Convocatoria,Sony Xperia V ( Lt 25i )
199,2015,Aficionado,Colombia,Terror suspenso,Convocatoria,Sony Xperia Z1 Compact
202,2015,Aficionado,Colombia,Comedia,Convocatoria,LG G2
203,2015,Aficionado,Colombia,Animación,Convocatoria,Samsung Galaxy
204,2015,Aficionado,Colombia,Drama,Convocatoria,samsung galaxy tab s
208,2015,Aficionado,Colombia,Drama Familia,Convocatoria,"Samsun GS4, Lanix 5130,"
209,2015,Aficionado,Colombia,Romantica,Convocatoria,NOKIA LUMIA 530
214,2015,Aficionado,Colombia,Drama Familia,Convocatoria,Iphone 5s
215,2015,Aficionado,Colombia,Documental,Convocatoria,MOTOROLA MOTO G PRIMERA GENERACIÓN Y UN SAMSUNG GALAXY ACE S5830
216,2015,Aficionado,Colombia,Drama,Convocatoria,iPhone 5
217,2015,Aficionado,México,Drama,Convocatoria,Samsung Galaxy SIII
218,2015,Aficionado,Colombia,Cine experimental,Convocatoria,HTC X - MOTO X - Samsug 4s
219,2015,Aficionado,Colombia,"Drama, familia, triste",Convocatoria,Lg G2
220,2015,Aficionado,Colombia,Romántica,Convocatoria,SAMSUMG GALAXI S5
222,2015,Aficionado,Colombia,Drama,Convocatoria,AZUMI A50C+
223,2015,Aficionado,Colombia,Drama,Convocatoria,Iphone 5S
224,2015,Aficionado,Colombia,drama,Convocatoria,Azumi LT50 - Claro
225,2015,Aficionado,Colombia,Thriller,Convocatoria,Iphone 6
227,2015,Aficionado,Colombia,Documental,Convocatoria,iPhone 6
228,2015,Aficionado,Colombia,Drama,Convocatoria,MOTO G
229,2015,Aficionado,Colombia,Cine experimental,Convocatoria,Motorola XT 925
230,2015,Aficionado,Colombia,Romántica,Convocatoria,HTC M8
231,2015,Aficionado,Colombia,Cine experimental,Convocatoria,Comcel 3GSM Samsumg GT-S5830i
232,2015,Aficionado,Colombia,Cine experimental,Convocatoria,Iphone 6 mg4x2ll a
236,2015,Aficionado,Colombia,Familia,Convocatoria,Huawei y samsung
237,2015,Aficionado,Colombia,Drama familia,Convocatoria,Huawei y samsung
238,2015,Profesional,Colombia,Familia,Convocatoria,iPhone 6 y Iphone 5S
241,2015,Aficionado,Colombia,Drama Romántica,Convocatoria,SAMSUNG GRAND PRIME
246,2015,Aficionado,Colombia,Thriller,Convocatoria,LG L40
247,2015,Profesional,Argentina,Documental,Convocatoria,Samsung Galaxy Advanced
251,2015,Infantil,México,Stop Motion Romántica,Convocatoria,iPad Mini
252,2015,Aficionado,Colombia,drama,Convocatoria,"Moto G, primera generacion, samsung star II"
253,2015,Aficionado,Colombia,Cine experimental,Convocatoria,iPhone 4
254,2015,Aficionado,Colombia,"Terror , suspenso",Convocatoria,"i phone 5, sony expiria, samsung s Il"
261,2015,Aficionado,Colombia,Drama,Convocatoria,iPhone 6
262,2015,Aficionado,Colombia,Drama,Convocatoria,Samsung S4 I Phone 5S
263,2015,Aficionado,Colombia,Comedia,Convocatoria,AVVIO 795
264,2015,Aficionado,Colombia,Drama,Convocatoria,nokia 1320
265,2015,Aficionado,Colombia,Suspenso,Convocatoria,NOKIA LUMIA 720
266,2015,Aficionado,Colombia,Drama,Convocatoria,samsung galaxi s4
269,2015,Aficionado,Colombia,Drama,Convocatoria,Sony Experia T (T30p)
270,2015,Aficionado,Colombia,Acción,Convocatoria,iPhone 4s
272,2015,Aficionado,Colombia,Cine experimental,Convocatoria,"samgsung galaxi ,samgsung galaxy 551 y asus zenfone 5"
273,2015,Aficionado,España,Terror,Convocatoria,iPhone 4S
275,2015,Aficionado,Colombia,Cine experimental,Convocatoria,TABLETA SAMSUNG GALAXY TAB 3 (SM-T310) DE 8 PULGADAS
277,2015,Aficionado,Colombia,Documental,Convocatoria,Huawei Y 300
279,2015,Aficionado,Colombia,Animación,Convocatoria,Samsung Galaxy
280,2015,Aficionado,Perú,"Drama, familia",Convocatoria,IPHONE 6 PLUS
281,2015,Aficionado,Colombia,Comedia,Convocatoria,Iphone 5
283,2015,Infantil,Colombia,Terror,Convocatoria,huawei g6
285,2015,Aficionado,Colombia,"Drama, stop motion",Convocatoria,azumiA45S
286,2015,Infantil,Colombia,Drama,Convocatoria,iphone 5s
287,2015,Aficionado,Colombia,acción,Convocatoria,Iphone 5
288,2015,Aficionado,Estados Unidos,Documental,Convocatoria,tablet lenovo
293,2015,Aficionado,Colombia,Terror,Convocatoria,avvio 795 - moto g
298,2015,Aficionado,Colombia,"Drama, Familia",Convocatoria,samsung galaxy s5
299,2015,Aficionado,Colombia,"Drama, semana santa",Convocatoria,ipad
300,2015,Aficionado,Colombia,Drama,Convocatoria,Huawei P7; motoG 2da generacion
301,2015,Aficionado,Colombia,Drama Romántica,Convocatoria,Moto G segunda generación XT1063
304,2015,Aficionado,Colombia,Ciencia Ficción,Convocatoria,Motorola G y Samsun duos
307,2015,Aficionado,Colombia,"Drama, cuento",Convocatoria,iphone 4s
309,2015,Aficionado,Colombia,Documental,Convocatoria,huawei y600
312,2015,Aficionado,Colombia,Drama,Convocatoria,Samsung Galaxy Grant GT - I9080L
313,2015,Aficionado,Colombia,Documental,Convocatoria,lg p930 hd nitro y samsung galaxi s3 mini
316,2015,Aficionado,Colombia,Drama familia,Convocatoria,HUAWEI Y330-U15
319,2015,Profesional,Colombia,Drama,Convocatoria,Iphone 4
320,2015,Aficionado,Colombia,Cine experimental,Convocatoria,Moto G segunda generación
321,2015,Aficionado,Colombia,Drama,Convocatoria,sony z3
322,2015,Aficionado,España,Terror,Convocatoria,Nokia 808 Pureview
325,2015,Aficionado,Colombia,Romántica,Convocatoria,iPhone 5S
326,2015,Aficionado,Colombia,Drama,Convocatoria,Samsung Galaxy S3.
327,2015,Aficionado,Colombia,Cine experimental,Convocatoria,NOKIA LUMIA 710
328,2015,Infantil,Colombia,Drama,Convocatoria,IPHONE 6 PLUS
329,2015,Aficionado,Colombia,Drama,Convocatoria,iphone 5c
331,2015,Aficionado,Colombia,Documental,Convocatoria,Avvio 775
333,2015,Profesional,Colombia,"Ficción, drama",Convocatoria,SONY XPERIA Z2
335,2015,Aficionado,Colombia,"Comedia, familia",Convocatoria,Samsung galaxy s5 mini
336,2015,Aficionado,Colombia,Thriller sicologico,Convocatoria,Iphone 5 (video) - Samsung galaxy (Audio)
337,2015,Aficionado,Colombia,Drama,Convocatoria,: HUAWEI Y IPHONE
338,2015,Aficionado,Colombia,Cine Experimental,Convocatoria,"Avvio L500 y Huawei p8, Htc desire 510"
339,2015,Aficionado,Colombia,Drama,Convocatoria,Sony Xperia Z3 Compact
340,2015,Aficionado,Colombia,Drama,Convocatoria,Samsung galaxy grand / iphone (ultima escena)
342,2015,Aficionado,Colombia,Terror,Convocatoria,"Alcatel C7, Sendtel flame,"
347,2015,Aficionado,Colombia,ficción,Convocatoria,Sony XPERIA Z2
348,2015,Aficionado,Colombia,Drama familia,Convocatoria,Nokia Luma 520
352,2015,Aficionado,Colombia,"Drama, Documental",Convocatoria,LENOVO S 960
354,2015,Aficionado,Colombia,Drama,Convocatoria,samsung galaxy s3
356,2015,Aficionado,Colombia,Drama,Convocatoria,Motorola Moto G 4g
360,2015,Infantil,Colombia,Drama,Convocatoria,Samsung Core Prime
361,2015,Aficionado,Colombia,Drama Familia,Convocatoria,smartphone plum z550
363,2015,Aficionado,Brasil,Cine experimental,Convocatoria,Motorola Moto X
364,2015,Aficionado,Colombia,"Drama, Familia",Convocatoria,samsung galaxy note 2
365,2015,Aficionado,Colombia,Basada en hisorias reales,Convocatoria,SAMSUNG GALXI 3 GT-I8190L
366,2015,Aficionado,España,Cine experimental,Convocatoria,HTC One
367,2015,Aficionado,Colombia,Cine experimental,Convocatoria,IPhone 5s
368,2015,Aficionado,Colombia,Thriller,Convocatoria,Samsung Galaxy 3
369,2015,Aficionado,Colombia,Drama,Convocatoria,avvio 763
370,2015,Aficionado,Colombia,Thriller,Convocatoria,Samsung Galaxi S5
371,2015,Aficionado,Colombia,Drama,Convocatoria,Moto G Versión de Android 5.0.2
372,2015,Aficionado,Colombia,"Drama, Familia",Convocatoria,Samsung Galaxy Win
373,2015,Aficionado,Colombia,Cine experimental,Convocatoria,NOKIA LUMIA 520 -SAMSUNG GALAXY GRAND
375,2015,Aficionado,Colombia,Terror,Convocatoria,Samsumg S4
376,2015,Aficionado,Colombia,Terror,Convocatoria,Samsung 3
378,2015,Aficionado,Colombia,Thriller,Convocatoria,Iphone 5
379,2015,Profesional,España,Documental,Convocatoria,iPad 3
380,2015,Aficionado,Brasil,Drama,Convocatoria,Sim
381,2015,Aficionado,Colombia,"Thriller, drama",Convocatoria,Blackberry 9790
382,2015,Aficionado,Colombia,"Drama, familia",Convocatoria,iphone 6
384,2015,Aficionado,Estados Unidos,Drama,Convocatoria,Iphone 6
387,2015,Infantil,Colombia,Drama,Convocatoria,Sony Xperia Z3
393,2015,Aficionado,Colombia,"Thriller, suspenso",Convocatoria,IPHONE 5
394,2015,Aficionado,Colombia,Thriller,Convocatoria,Ipad 2 modelo A1416
396,2015,Aficionado,Colombia,Basada en hisorias reales,Convocatoria,Samsung Galaxi SIII
398,2015,Aficionado,Colombia,Cine experimental,Convocatoria,Samsung Galaxy trend
400,2015,Aficionado,Colombia,Drama,Convocatoria,Iphone 5
401,2015,Aficionado,Colombia,"Drama, cine experimental",Convocatoria,Samsung Galaxy S2
402,2015,Aficionado,Colombia,Animaciòn acciòn,Convocatoria,SONY XPERIA M2 AQUA
403,2015,Aficionado,Colombia,"Romántica, drama",Convocatoria,SENDTEL BANG + SP42000
405,2015,Aficionado,Colombia,Cine experimental banda sonora original,Convocatoria,SAMSUNG GALAXY Y YOUNG GT-S
409,2015,Profesional,Venezuela,Animación,Convocatoria,Samsung Galaxy S (GT-i9000)
410,2015,Aficionado,Colombia,"Terror, suspenso",Convocatoria,IPHONE 4S AVVIO 792
412,2015,Aficionado,Colombia,Comedia,Convocatoria,"Galaxy Grand 2 Pantalla Tecnología TFT Tamaño 5,25""Resolución HD (1.280 x 720 ) Memoria Interna 8 GB Usuario 4,8 GB"
413,2015,Aficionado,Colombia,Comedia mayores de 18 años,Convocatoria,samsung galaxy Slll
414,2015,Aficionado,Colombia,acción,Convocatoria,Apple Iphone 6
415,2015,Aficionado,Colombia,Documental,Convocatoria,Samsung Galaxy S4
417,2015,Aficionado,Colombia,acción,Convocatoria,Huawei Y600
421,2015,Aficionado,Cuba,Comedia,Convocatoria,Iphone 4s
423,2015,Aficionado,Colombia,Cine experimental,Convocatoria,motorola G
427,2015,Aficionado,Colombia,Terror,Convocatoria,LENOVO S 960
429,2015,Aficionado,Colombia,"Basada en historias reales, comedia",Convocatoria,IPHONE 5S
430,2015,Aficionado,Colombia,Documental,Convocatoria,iPhone 5S
431,2015,Aficionado,Colombia,"Familia, drama",Convocatoria,Samsumg Grand prime
434,2015,Aficionado,Colombia,Drama,Convocatoria,HUAWEI G610 - IPHONE 6
435,2015,Aficionado,Ecuador,"Familia, drama",Convocatoria,SAMSUNG S5
436,2015,Aficionado,Colombia,Drama,Convocatoria,iPhone 6
437,2015,Profesional,Colombia,Drama,Convocatoria,Iphone 5S
441,2015,Aficionado,Colombia,"Familia, drama",Convocatoria,Huawei Ascend p7
442,2015,Profesional,Colombia,Drama,Convocatoria,HTC ONE M7
443,2015,Aficionado,México,Drama,Convocatoria,IPhone 6
445,2015,Infantil,Colombia,Drama,Convocatoria,Iphone 6 y lentes intercambiables
446,2015,Aficionado,Colombia,Drama,Convocatoria,samsung galaxy neo
447,2015,Aficionado,España,Terror,Convocatoria,iPhone 4S
448,2015,Aficionado,Colombia,Suspenso,Convocatoria,AVVIO L500
449,2015,Aficionado,Colombia,"Basada en historias reales, documental, Drama",Convocatoria,Sony Xperia V
450,2015,Aficionado,Colombia,Cine experimental,Convocatoria,huawei
452,2015,Aficionado,Colombia,Comedia,Convocatoria,Iphone
453,2015,Aficionado,Colombia,"Drama, romántica",Convocatoria,Samsung Galaxy Trend Lite GT S7390L
454,2015,Aficionado,Colombia,Documental,Convocatoria,iphone 4 y own
456,2015,Aficionado,Colombia,Contenido inapropiado Drama,Convocatoria,Sony Xperia Z3
457,2015,Aficionado,Colombia,Románticas,Convocatoria,samsung galaxy
460,2015,Aficionado,Colombia,Suspenso,Convocatoria,Iphone 5
461,2015,Aficionado,Colombia,Familia,Convocatoria,Lg L7 (P-705)
466,2015,Aficionado,Colombia,Drama,Convocatoria,Samsung A5
467,2015,Aficionado,Colombia,Romantica,Convocatoria,Samsung Galaxy Core 2 Duos SM-G355M
472,2015,Aficionado,Colombia,Documental,Convocatoria,iPhone 4
475,2015,Aficionado,Colombia,Drama,Convocatoria,Iphone y Ipad
476,2015,Aficionado,Colombia,drama,Convocatoria,Iphone 6
481,2015,Aficionado,Colombia,Drama-Semana Santa,Convocatoria,iPhone 4S
483,2015,Aficionado,Colombia,Ficción,Convocatoria,Iphone 6 Plus - IMEI 354389067244086
492,2015,Aficionado,Colombia,Experimental,Convocatoria,Nokia Lumia-630
501,2015,Aficionado,Colombia,Drama,Convocatoria,Motorola G
507,2015,Aficionado,Colombia,Drama,Convocatoria,Samsung Galaxy Grand Dúos
509,2015,Profesional,Colombia,Drama,Convocatoria,Iphone 5s
513,2015,Infantil,Colombia,Comedia,Convocatoria,iphone 5c - iphone 4s - ipad
524,2015,Profesional,Colombia,Acción,Convocatoria,smartphone Linix Ilium S130
529,2015,Profesional,Francia,Comedia,Convocatoria,iPhone4
535,2015,Aficionado,Estados Unidos,Drama,Convocatoria,samsung exhibit 2
538,2016,Infantil,Colombia,documental,Televisión,"I PHONE 4, SAMSUNG GALAXI TABLETA, SAMSUNG GALAXI CELULAR"
539,2016,Infantil,Colombia,ficcion,Internet,sony ericson z3
540,2016,Infantil,Colombia,suspenso,Amigo,samsung galaxie grand prime
541,2016,Infantil,Colombia,Documental,Amigo,iPhone 6
542,2016,Infantil,Colombia,Terror,Internet,Samsumg Galaxy S6
544,2016,Infantil,Alemania,accion,Amigo,Samsung Galaxy
545,2016,Infantil,Colombia,accion,Redes Sociales,baile
547,2016,Infantil,Colombia,comedia,Internet,blu dash 4.5
548,2016,Infantil,Colombia,accion,Amigo,samsung galaxy grand prime
549,2016,Infantil,Colombia,comedia,Prensa,"Avio L600, Samsung Galaxy S7"
550,2016,Infantil,Colombia,documental,Amigo,IPhone 5c
551,2016,Infantil,Colombia,drama,Internet,"samsung Galaxy S5, Samsung Galaxy A7, Lanix Ilium 1100"
552,2016,Infantil,Colombia,comedia,Redes Sociales,iPad
553,2016,Infantil,Colombia,comedia,Amigo,Samsung S3 mini
554,2016,Infantil,Colombia,Drama,Internet,iPhone 6
555,2016,Infantil,Colombia,Documental,Internet,Lanix s106
556,2016,Infantil,Colombia,drama,Internet,sendtel
557,2016,Infantil,Colombia,accion,Redes Sociales,iPad
558,2016,Infantil,Colombia,accion,Televisión,SAMSUMG GALAXY J 7
559,2016,Infantil,Colombia,drama,Amigo,Iphone6-
560,2016,Infantil,Colombia,accion,Amigo,Samsung Galaxy Grand NeoPlus
561,2016,Infantil,Colombia,ficcion,Amigo,"SENDTEL ROCKET, TABLET SAMSUNG GALAXY"
562,2016,Infantil,Colombia,ficcion,Internet,Iphone 6S
563,2016,Infantil,Colombia,drama,Amigo,Motorola Moto G y Avvio 795
564,2016,Infantil,Colombia,accion,Amigo,LANIX - llimu L1200
565,2016,Infantil,Colombia,comedia romantica,Televisión,NEW EXPLORER 4009
566,2016,Infantil,Colombia,Suspenso,Prensa,Android
567,2016,Infantil,Colombia,documental,Amigo,samsung grand prime
568,2016,Infantil,Colombia,drama,Amigo,samsung galaxy s5
569,2016,Infantil,Colombia,documental,Internet,SAMSUNG
570,2016,Infantil,Colombia,drama,Internet,SAMSUNG GALAXY NOTE 4 (GRABACIÓN CORTO Y SONIDO DIRECTO - VOCES EN OFF) - SAMSUNG ACE 4 NEO (MAKIN
572,2016,Infantil,Colombia,drama,Televisión,"Motorola G 3, Iphone 5 y Alcatel pixi 3"
574,2016,Infantil,Colombia,documental,Internet,Moto g3 - huawei ascend g6
575,2016,Infantil,Colombia,ficcion,Redes Sociales,Apple Iphone 4 8 mega pixeles
576,2016,Infantil,Colombia,Ficción,Redes Sociales,sony z3
577,2016,Infantil,Colombia,accion,Amigo,iphone 6
578,2016,Infantil,Colombia,drama,Amigo,iphone 6
579,2016,Infantil,Colombia,documental,Amigo,galaxy grand prime
